Generation,Max Distance,Min Distance,Total Distance
338,280,0,565886
339,280,0,567417
340,280,0,568645
341,280,0,569605
342,280,0,571223
343,280,0,572388
344,280,0,573609
345,280,0,574752
346,280,0,575952
347,280,0,577254
348,280,0,578703
349,280,0,579778
350,280,0,580704
351,280,0,581879
352,280,0,582964
353,280,0,584245
354,280,0,585649
355,280,0,586921
356,280,0,588167
357,280,0,589841
358,280,0,591927
359,280,0,593101
360,280,0,594695
361,280,0,596331
362,280,0,598480
363,280,0,600303
364,280,0,601734
365,280,0,602932
366,280,0,604634
367,280,0,606361
368,280,0,608951
369,280,0,610870
370,280,0,612853
371,280,0,614561
372,280,0,616270
373,280,0,618127
374,280,0,619756
375,280,0,621322
376,280,0,623166
377,280,0,624950
378,280,0,626185
379,280,0,627556
380,280,0,629189
381,280,0,630991
382,280,0,633039
383,280,0,634331
384,280,0,635972
385,280,0,637620
386,280,0,640244
387,280,0,641894
388,280,0,643998
389,280,0,645714
390,280,0,647276
391,280,0,649046
392,280,0,650974
393,280,0,653147
394,280,0,654747
395,280,0,656172
396,280,0,658319
397,280,0,659923
398,280,0,661208
399,280,0,662108
400,280,0,663387
401,280,0,665081
402,280,0,666081
403,280,0,667432
404,280,0,669391
405,280,0,671556
406,280,0,673301
407,280,0,674892
408,280,0,676999
409,280,0,679828
410,280,0,681395
411,280,0,683294
412,280,0,684708
413,280,0,687832
414,280,0,689257
415,280,0,691230
416,280,0,693364
417,280,0,695288
418,280,0,697307
419,280,0,699013
420,280,0,700833
421,280,0,702663
422,280,0,704041
423,280,0,705818
424,280,0,708005
425,280,0,709824
426,280,0,711780
427,280,0,713411
428,280,0,715996
429,280,0,718744
430,280,0,720544
431,280,0,722389
432,280,0,723872
433,280,0,725854
434,280,0,727749
435,280,0,729234
436,280,0,731082
437,280,0,733092
438,280,0,735061
439,280,0,737008
440,280,0,739576
441,280,0,740995
442,280,0,742815
443,280,0,744781
444,280,0,746301
445,280,0,748038
446,280,0,749901
447,280,0,751905
448,280,0,753225
449,280,0,754245
450,280,0,756231
451,280,0,757846
452,280,0,759958
453,280,0,761877
454,280,0,763628
455,280,0,765453
456,280,0,767505
457,280,0,768940
458,280,0,770778
459,280,0,773156
460,280,0,774748
461,280,0,777084
462,280,0,779487
463,280,0,781564
464,280,0,783212
465,280,0,785015
466,280,0,786419
467,280,0,787999
468,280,0,789039
469,280,0,790408
470,280,0,791641
471,280,0,792975
472,280,0,794477
473,280,0,796255
474,280,0,797624
475,280,0,799514
476,280,0,801172
